competition,date,location,promoter,comp_url,competition_subtype,competition_type
2025 TAMPA PRO,Jul 31-Aug 2,"Tampa, FL",Tim Gardner,https://www.ifbbpro.com/competition/2025-tampa-pro/,OPEN + MASTERS 40/45/50/55/60,Women's Bodybuilding
2025 TUPELO MASTERS PRO,Aug 8-9,"Tupelo, MS",Judy Gaillard,https://www.ifbbpro.com/competition/2025-tupelo-pro/,MASTERS 40/50,Women's Bodybuilding
2025 MASTERS OLYMPIA,Aug 9-10,"Tokyo, Japan",Masters Olympia,https://www.ifbbpro.com/2025-masters-olympia-qualifying-system/,MASTERS 40,Women's Bodybuilding
2025 LENDA MURRAY ATL PRO SUPERSHOW,Aug 15-16,"Atlanta, GA",Alex Sacasa,https://www.ifbbpro.com/competition/2025-lenda-murray-atl-pro-supershow/,OPEN + MASTERS 40,Women's Bodybuilding
2025 PRO MASTERS WORLD CHAMPIONSHIPS,Aug 31,"Pittsburgh, PA",Gary Udit,https://www.ifbbpro.com/competition/2025-pro-masters-world-championships/,MASTERS 40/50/60/70,Women's Bodybuilding
2025 ALINA POPA CLASSIC PRO,Aug 31,"Bucharest, Romania",Alina Popa,https://www.ifbbpro.com/competition/2025-alina-popa-classic-pro/,OPEN,Women's Bodybuilding
2025 RISING PHOENIX,Sept 13,"Phoenix, AZ",Alex Sacasa,https://www.ifbbpro.com/competition/2025-rising-phoenix/,OPEN,Women's Bodybuilding
2025 EUROPEAN PRO CHAMPIONSHIPS,Sep 13-14,Germany,Dennis James,,OPEN,Women's Bodybuilding
2025 TITANS GRAND PRIX PRO,Sep 20,"Anaheim, CA",Tamer El Guindy,,OPEN,Women's Bodybuilding
2025 OLYMPIA,Oct 9-12,"Las Vegas, NV",Dan Solomon,,OPEN,Women's Bodybuilding
2025 ROMANIA MUSCLE FEST PRO,Nov 8-9,"Bucharest, Romania",Wings of Strength,https://www.ifbbpro.com/competition/2025-romania-muscle-fest-pro-am/,OPEN,Women's Bodybuilding
2025 MR BIG EVOLUTION PORTUGAL MASTERS PRO,Nov 23,Portugal,Mr. Big Evolution,https://www.ifbbpro.com/competition/2025-mr-big-evolution-pro-masters/,MASTERS 40,Women's Bodybuilding
2025 ARNOLD CLASSIC,Feb 27-Mar 2,"Columbus, OH",Lloyd Davis,https://www.ifbbpro.com/competition/2025-arnold-classic/,OPEN,Women's Fitness
2025 EMERALD CUP NATURAL PRO,May 3,"Bellevue, WA",Ivan Ribic,https://www.ifbbpro.com/competition/2025-emerald-cup-natural-pro/,NATURAL OPEN,Women's Fitness
2025 LEGION SPORTS FEST PRO,May 31,"Reno, NV",Chris Minnes,https://www.ifbbpro.com/competition/2025-legion-sports-fest/,OPEN,Women's Fitness
2025 ADELA GARCIA CLASSIC PRO,Jun 7,"Austin, TX",Adela Garcia,https://www.ifbbpro.com/competition/2025-adela-garcia-classic-pro-am/,OPEN + MASTERS 40,Women's Fitness
2025 BODY BE 1 CLASSIC PRO,Jun 21,"Montgomery, AL",Roland Huff,https://www.ifbbpro.com/competition/2025-body-be-1-classic-pro-am/,OPEN + MASTERS 40/50,Women's Fitness
2025 NATURAL CANADA PRO SHOW,Aug 3,Canada,Rudy Jambrosic,https://www.ifbbpro.com/competition/2025-natural-canada-pro-show/,NATURAL OPEN,Women's Fitness
2025 MASTERS OLYMPIA,Aug 9-10,"Tokyo, Japan",Masters Olympia,https://www.ifbbpro.com/2025-masters-olympia-qualifying-system/,MASTERS 40,Women's Fitness
2025 LENDA MURRAY ATL PRO SUPERSHOW,Aug 15-16,"Atlanta, GA",Alex Sacasa,https://www.ifbbpro.com/competition/2025-lenda-murray-atl-pro-supershow/,OPEN + MASTERS 40,Women's Fitness
2025 PRO MASTERS WORLD CHAMPIONSHIPS,Aug 31,"Pittsburgh, PA",Gary Udit,https://www.ifbbpro.com/competition/2025-pro-masters-world-championships/,MASTERS 40,Women's Fitness
2025 RISING PHOENIX,Sep 13,"Phoenix, AZ",Alex Sacasa,https://www.ifbbpro.com/competition/2025-rising-phoenix/,OPEN,Women's Fitness
2025 OKLAHOMA SHOWDOWN OF CHAMPIONS PRO,Sept 13,"Tulsa, OK",Eileen Calabrese,https://www.ifbbpro.com/competition/2025-oklahoma-showdown-of-champions-pro/,OPEN + MASTERS 35/40,Women's Fitness
2025 OLYMPIA,Oct 9-12,"Las Vegas, NV",Dan Solomon,,OPEN,Women's Fitness
2025 CHATTANOOGA NIGHT OF CHAMPIONS PRO,Nov 8,"Chattanooga, TN",Allen Sizemore,https://www.ifbbpro.com/competition/2025-chattanooga-night-of-champions-pro/,OPEN,Women's Fitness
2025 FRANCE TSUNAMI NUTRITION SHOWDOWN NATURAL PRO,Nov 8,"Marseille, France",Ron Hache,https://www.ifbbpro.com/competition/2025-france-tsunami-nutrition-showdown-natural-pro/,NATURAL OPEN,Women's Fitness
2025 BEN WEIDER NATURALS PRO,Nov 14-15,"Alexandria, VA",Gary UditRon Hache,https://www.ifbbpro.com/competition/2025-ben-weider-naturals-pro/,NATURAL OPEN,Women's Fitness
2025 BEN WEIDER NATURAL MASTERS PRO,Nov 16,"Alexandria, VA",Gary UditRon Hache,,NATURAL MASTERS 40,Women's Fitness
2025 MR BIG EVOLUTION PORTUGAL MASTERS PRO,Nov 23,"Lisbon, Portugal",Mr. Big Evolution,https://www.ifbbpro.com/competition/2025-mr-big-evolution-pro-masters/,MASTERS 40,Women's Fitness
2025 TRI-CITY CLASSIC PRO,Apr 5,"Columbus, GA",Roland Huff,https://www.ifbbpro.com/competition/2025-tri-city-classic-pro-am/,OPEN + MASTERS 40/50,Women's Figure
2025 TRIPLE O DYNASTY PRO,Apr 5,"Mesa, AZ",Cydney Gillon,https://www.ifbbpro.com/competition/2025-triple-o-dynasty/,OPEN + MASTERS 40,Women's Figure
2025 FIBO CHAMPIONSHIPS,Apr 11-12,"Cologne, Germany",Michael Kohler & Jens Thieme,https://www.ifbbpro.com/competition/2025-fibo-pro-championships/,OPEN,Women's Figure
2025 BATTLE OF THE BODIES PRO,Apr 12,"Tulsa, OK",Eileen Calabrese,https://www.ifbbpro.com/competition/2025-battle-of-the-bodies/,OPEN + MASTERS 35/40/45/50/60,Women's Figure
2025 EMERALD CUP MASTERS PRO,May 2,"Bellevue, WA",Ivan Ribic,https://www.ifbbpro.com/competition/2025-emerald-cup-masters/,MASTERS 35/40/50/55,Women's Figure
2025 PITTSBURGH POWER & FITNESS FESTIVAL,May 10-11,"Pittsburgh, PA",Jim Manion,https://www.ifbbpro.com/competition/2025-pittsburgh-power-fitness-festival/,OPEN,Women's Figure
2025 NEW YORK PRO,May 17,"Teaneck, NJ",Steve Weinberger,https://www.ifbbpro.com/competition/2025-new-york-pro/,OPEN,Women's Figure
2025 OPTIMUM CLASSIC PRO,May 24,"Shreveport, LA",Robert Blount,https://www.ifbbpro.com/competition/2025-optimum-classic-championships/,OPEN,Women's Figure
2025 TORONTO PRO SUPERSHOW,Jun 8,"Toronto, Canada",Ron Hache,https://www.ifbbpro.com/competition/2025-toronto-pro-supershow/,OPEN + MASTERS 40,Women's Figure
2025 SPANISH MASTER PRO,Jun 8,"Madrid, Spain",Gabriel Opare,https://www.ifbbpro.com/competition/2025-spanish-master-pro/,MASTERS 40,Women's Figure
CLASH OF THE TITANZ NATURAL PRO,Jun 14,"Douglasville, GA",Daniel Stuckart,https://www.ifbbpro.com/competition/2025-clash-of-the-titanz-natural-pro/,NATURAL OPEN,Women's Figure
2025 EMPRO CLASSIC,Jun 15,"Alicante, Spain",Emilio Martinez,https://www.ifbbpro.com/competition/2025-empro-classic/,OPEN,Women's Figure
2025 BODY BE 1 CLASSIC PRO,Jun 21,"Montgomery, AL",Roland Huff,https://www.ifbbpro.com/competition/2025-body-be-1-classic-pro-am/,OPEN + MASTERS 40/50,Women's Figure
2025 HUANJI CHINA PRO,Jun 22,China,George Zhang,https://www.ifbbpro.com/competition/2025-huanji-china-pro-2/,OPEN,Women's Figure
2025 OREGON NATURAL PRO,Jun 28,"Salem, OR",Dominic Current,https://www.ifbbpro.com/competition/2025-oregon-natural-pro/,NATURAL OPEN,Women's Figure
2025 MR BIG EVOLUTION PORTUGAL PRO,Jul 6,Portugal,Mr. Big Evolution,https://www.ifbbpro.com/competition/2025-mr-big-evolution-portugal-pro/,OPEN,Women's Figure
2025 ZHANNA ROTAR CLASSIC PRO,Jul 12,"Las Vegas, NV",Tamer El Guindy,,OPEN,Women's Figure
2025 EURO MUSCLE PRO SHOW,Jul 12-13,"Amsterdam, Netherlands",Liona Bergmann,,OPEN,Women's Figure
2025 GOMEISA ULTIMATE BATTLE COLOMBIA PRO,Jul 17-20,"Medellin, Colombia",Maz Ali,https://www.ifbbpro.com/competition/2025-gomeisa-ultimate-battle-pro-medellin-supershow/,OPEN,Women's Figure
2025 CHICAGO PRO,Jul 18-19,"Rosemont, IL",Tim Gardner,https://www.ifbbpro.com/competition/2025-chicago-pro/,OPEN + MASTERS 40/45/50/55/60,Women's Figure
2025 MUSCLECONTEST BRAZIL PRO,Jul 18-20,"Curitiba, Brazil",Tamer El Guindy,,OPEN,Women's Figure
2025 TAMPA PRO,Jul 31-Aug 2,"Tampa, FL",Tim Gardner,https://www.ifbbpro.com/competition/2025-tampa-pro/,OPEN + MASTERS 40/45/50/55/60,Women's Figure
2025 NATURAL CANADA PRO SHOW,Aug 3,Canada,Rudy Jambrosic,https://www.ifbbpro.com/competition/2025-natural-canada-pro-show/,NATURAL OPEN,Women's Figure
2025 TUPELO PRO,Aug 8-9,"Tupelo, MS",Judy Gaillard,https://www.ifbbpro.com/competition/2025-tupelo-pro/,OPEN + MASTERS 40/50,Women's Figure
2025 TEXAS PRO,Aug 8-9,"Irving, TX",Freddy Naidu | Sheilahe Brown,https://www.ifbbpro.com/competition/2025-texas-pro/,OPEN,Women's Figure
2025 MASTERS OLYMPIA,Aug 9-10,"Tokyo, Japan",Masters Olympia,https://www.ifbbpro.com/2025-masters-olympia-qualifying-system/,MASTERS 40,Women's Figure
2025 LENDA MURRAY ATL PRO SUPERSHOW,Aug 15-16,"Atlanta, GA",Alex Sacasa,https://www.ifbbpro.com/competition/2025-lenda-murray-atl-pro-supershow/,OPEN + MASTERS 40,Women's Figure
2025 MAXFIT CLASSIC MASTERS PRO,Aug 16,"Fort Walton Beach, FL",Russ Mesey | Clay Parker,https://www.ifbbpro.com/competition/2025-maxfit-classic-masters-pro/,MASTERS 35/40/45/50/55/60,Women's Figure
2025 MARYLAND NIGHT OF CHAMPIONS MASTERS PRO,Aug 23,"Baltimore, MD",Gary Udit,https://www.ifbbpro.com/competition/2025-maryland-night-of-champions-pro/,MASTERS 40,Women's Figure
2025 PRO MASTERS WORLD CHAMPIONSHIPS,Aug 31,"Pittsburgh, PA",Gary Udit,https://www.ifbbpro.com/competition/2025-pro-masters-world-championships/,MASTERS 40/50/60,Women's Figure
2025 FLORIDA PRO,Sep 5-6,"Sarasota, FL",Stacy Taylor,https://www.ifbbpro.com/competition/2025-florida-pro/,OPEN + MASTERS 35/40/45/50/55/60/70,Women's Figure
2025 RISING PHOENIX,Sep 13,"Phoenix, AZ",Alex Sacasa,https://www.ifbbpro.com/competition/2025-rising-phoenix/,OPEN + MASTERS 40,Women's Figure
2025 EUROPEAN PRO CHAMPIONSHIPS,Sep 13-14,Germany,Dennis James,,OPEN,Women's Figure
2025 SASQUATCH PRO,Sep 20,"Federal Way, WA",Michelle Mayberry | Chris Algeo,https://www.ifbbpro.com/competition/2025-sasquatch-pro/,OPEN + MASTERS 40,Women's Figure
2025 SAN ANTONIO PRO,Sep 20,"San Antonio, TX",Tim Gardner,https://www.ifbbpro.com/competition/2025-san-antonio-pro/,OPEN + MASTERS 40/45/50/55/60,Women's Figure
2025 MUSCLETOWN NATURAL PRO,Sep 20,"York, PA",Gary Udit,https://www.ifbbpro.com/competition/2025-muscletown-natural-pro/,NATURAL OPEN,Women's Figure
2025 DOMINICAN REPUBLIC PRO,Sep 21,Dominican Republic,Maz Ali & Tamer El Guindy,,OPEN,Women's Figure
2025 DAYTONA PRO/AM CHAMPIONSHIPS,Sep 27-28,"Daytona Beach, FL",Michael Matassa,https://www.ifbbpro.com/competition/2025-daytona-pro-am-championships/,MASTERS 40/45/50/55,Women's Figure
2025 VAN CITY SHOWDOWN NATURAL PRO,Sep 28,"Burnaby, Canada",Corey Swiergosz,https://www.ifbbpro.com/competition/2025-van-city-showdown-natural-pro/,NATURAL OPEN,Women's Figure
2025 BALKAN GRAND PRIX PRO,Oct 4,"Sofia, Bulgaria",Martin Rusanov,https://www.ifbbpro.com/competition/2025-balkan-grand-prix-pro/,OPEN,Women's Figure
2025 AGP PRO SHOW,Oct 5,South Korea,Alex Hong,https://www.ifbbpro.com/competition/2025-agp-pro-show-2/,OPEN,Women's Figure
2025 HURRICANE PRO,Oct 18-19,"St. Petersburg, FL",Tim Gardner,https://www.ifbbpro.com/competition/2025-hurricane-pro/,OPEN + MASTERS 40/45/50/55/60,Women's Figure
2025 PHARLABS MEXICO PRO/AM,Oct 18-19,"Cuidad de Mexico, Mexico",Slawomir Porowski & Patricia Pavon,https://www.ifbbpro.com/competition/2025-pharlabs-mexico-pro-am/,OPEN,Women's Figure
2025 EVLS PRAGUE PRO,Oct 26,Czech Republic,Adam Kindl,https://www.ifbbpro.com/competition/2025-evls-prague-pro/,OPEN,Women's Figure
2025 EURONATURALS SPAIN PRO,Oct 26,"Madrid, Spain",Gabriel Opare,https://www.ifbbpro.com/competition/2025-euronaturals-spain-pro/,OPEN,Women's Figure
2025 TEXAS STATE PRO,Nov 8,"San Marcos, TX",Helio Chapaseaux | Bernadette Galvan,,OPEN + MASTERS 40,Women's Figure
2025 FRANCE TSUNAMI NUTRITION SHOWDOWN NATURAL PRO,Nov 8,"Marseille, France",Ron Hache,https://www.ifbbpro.com/competition/2025-france-tsunami-nutrition-showdown-natural-pro/,NATURAL OPEN,Women's Figure
2025 ROMANIA MUSCLE FEST PRO,Nov 8-9,"Bucharest, Romania",Wings of Strength,https://www.ifbbpro.com/competition/2025-romania-muscle-fest-pro-am/,OPEN,Women's Figure
2025 BEN WEIDER NATURALS PRO,Nov 14-15,"Alexandria, VA",Gary UditRon Hache,https://www.ifbbpro.com/competition/2025-ben-weider-naturals-pro/,NATURAL OPEN,Women's Figure
2025 ATLANTIC COAST PRO,Nov 15-16,"Fort Lauderdale, FL",Tim Gardner,https://www.ifbbpro.com/competition/2025-atlantic-coast-pro/,OPEN + MASTERS 40/45/50/55/60,Women's Figure
2025 CHINA DMS PRO,Nov 15-16,"Changsha, China",DMS,https://www.ifbbpro.com/competition/2025-dms-china-pro-5/,OPEN,Women's Figure
2025 BEN WEIDER NATURAL MASTERS PRO,Nov 16,"Alexandria, VA",Gary UditRon Hache,,MASTERS 40,Women's Figure
2025 EU NUTRITION PORTUGAL NATURAL PRO,Nov 22,Portugal,Mr. Big Evolution,https://www.ifbbpro.com/competition/2025-eu-nutrition-pro-natural-championships/,NATURAL OPEN,Women's Figure
2025 MR BIG EVOLUTION PORTUGAL MASTERS PRO,Nov 23,Portugal,Mr. Big Evolution,https://www.ifbbpro.com/competition/2025-mr-big-evolution-pro-masters/,MASTERS 40,Women's Figure
2025 TAIWAN PRO,Dec 5-7,Taiwan,John Chen,,OPEN,Women's Figure
2025 MUSCLECONTEST JAPAN PRO,Feb 22,"Tokyo, Japan",Tamer El Guindy,https://www.ifbbpro.com/competition/2025-musclecontest-japan/,OPEN,Women's Bikini
2025 ARNOLD CLASSIC,Feb 27-Mar 2,"Columbus, OH",Lloyd Davis,https://www.ifbbpro.com/competition/2025-arnold-classic/,OPEN,Women's Bikini
2025 SAN DIEGO PRO,Mar 8,"San Diego, CA",Tamer El Guindy,https://www.ifbbpro.com/competition/2025-san-diego-championships/,OPEN,Women's Bikini
2025 MUSCLECONTEST CAMPINAS PRO,Mar 15,"Campinas, Brazil",Tamer El Guindy,https://www.ifbbpro.com/competition/2025-musclecontest-campinas/,OPEN,Women's Bikini
2025 CHINA DMS PRO,Mar 30,"Shanghai, China",DMS,https://www.ifbbpro.com/competition/2025-dms-china-pro/,,Women's Bikini
2025 TAIWAN PRO,Apr 4-5,"Kaohsiung, Taiwan",John Chen,https://www.ifbbpro.com/competition/2025-taiwan-pro/,OPEN,Women's Bikini
2025 FIBO CHAMPIONSHIPS,Apr 11-12,"Cologne, Germany",Michael Kohler & Jens Thieme,https://www.ifbbpro.com/competition/2025-fibo-pro-championships/,OPEN,Women's Bikini
2025 CHARLOTTE PRO,Apr 12,"Charlotte, NC",Johnny Stewart,https://www.ifbbpro.com/competition/2025-charlotte-pro/,OPEN + MASTERS 35/40/45/50/55/60,Women's Bikini
2025 1 BRO BIKINI PRO SHOW,Apr 19,United Kingdom,2 Bros Pros,https://www.ifbbpro.com/competition/2025-1-bro-bikini-pro-show/,OPEN,Women's Bikini
2025 HUANJI CHINA PRO,Apr 20,"Shanghai, China",George Zhang,https://www.ifbbpro.com/competition/2025-huanji-china-pro/,OPEN,Women's Bikini
2025 WASATCH WARRIOR PRO,Apr 26,"Salt Lake City, UT",Robyn Maher,https://www.ifbbpro.com/competition/2025-wasatch-warrior/,OPEN + MASTERS 40,Women's Bikini
2025 GRL PWR PRO,Apr 26,"Orlando, FL",Shannon Dey,https://www.ifbbpro.com/competition/2025-grl-pwr-championships/,OPEN + MASTERS 40/50/60,Women's Bikini
2025 WORLD OF MONSTERZM PRO,Apr 26,"Seoul, South Korea",Steve Kim,https://www.ifbbpro.com/competition/2025-world-of-monsterzym-korea-pro/,OPEN,Women's Bikini
2025 EMERALD CUP MASTERS PRO,May 2,"Bellevue, WA",Ivan Ribic,https://www.ifbbpro.com/competition/2025-emerald-cup-masters/,MASTERS 35/40/50/55/60,Women's Bikini
2025 FLORIDA GRAND PRIX MASTERS PRO>,May 3,"Boca Raton, FL",Serge Saric,https://www.ifbbpro.com/competition/2025-florida-grand-prix-masters-pro-2/,MASTERS 35/40/50/60,Women's Bikini
2025 IRONBEASTS PORTUGAL NATURAL PRO,May 4,"Carcavelos, Portugal",Mr. Big Evolution,https://www.ifbbpro.com/competition/2025-ironbeasts-natural-pro/,NATURAL OPEN,Women's Bikini
2025 CALIFORNIA SUPPLEMENT SPAIN PRO,May 4,"Alicante, Spain",Emilio Martinez,https://www.ifbbpro.com/competition/2025-california-supplement-spain-pro/,OPEN,Women's Bikini
2025 LAS VEGAS NATURAL PRO,May 10,"Las Vegas, NV",Remi Bruyninga | Austin Karr,https://www.ifbbpro.com/competition/2025-las-vegas-natural-pro-am/,NATURAL OPEN + NATURAL MASTERS 40,Women's Bikini
2025 KOKENY CLASSIC HUNGARY PRO,May 10,"Budapest, Hungary",Ildiko Buranits,https://www.ifbbproleaguehungary.hu/,OPEN,Women's Bikini
2025 PITTSBURGH POWER & FITNESS FESTIVAL,May 10-11,"Pittsburgh, PA",Jim Manion,https://www.ifbbpro.com/competition/2025-pittsburgh-power-fitness-festival/,OPEN,Women's Bikini
2025 NEW YORK PRO,May 17,"Teaneck, NJ",Steve Weinberger,https://www.ifbbpro.com/competition/2025-new-york-pro/,OPEN,Women's Bikini
2025 KANSAS CITY NATURAL PRO,May 24,"Kansas City, MO",Jack Titone,https://www.ifbbpro.com/competition/2025-kansas-city-natural-championships/,NATURAL OPEN,Women's Bikini
2025 MIAMI PRO,May 24,"Miami Beach, FL",Geobanny Paula,https://www.ifbbpro.com/competition/2025-miami-pro/,OPEN + MASTERS 35/40/45/50/55/60,Women's Bikini
2025 OPTIMUM CLASSIC PRO,May 24,"Shreveport, LA",Robert Blount,https://www.ifbbpro.com/competition/2025-optimum-classic-championships/,OPEN,Women's Bikini
2025 AGP KOREA NATURAL PRO SHOW,May 24,South Korea,Alex Hong,https://www.ifbbpro.com/competition/2025-agp-natural-pro-show/,NATURAL OPEN,Women's Bikini
2025 AGP KOREA PRO SHOW,May 25,South Korea,Alex Hong,https://www.ifbbpro.com/competition/2025-agp-pro-show/,OPEN,Women's Bikini
2025 EVEREST MUSCLE GAMES POLAND PRO,May 25,"Warsaw, Poland",Robert Piotrkowicz,https://www.ifbbpro.com/competition/2025-everest-muscle-games-poland-pro/,OPEN,Women's Bikini
2025 BATTLE OF THE TITANS NATURAL PRO,May 31,"Nashville, TN",Whitney Wiser,,NATURAL NATURAL OPEN + MASTERS 40,Women's Bikini
2025 LEGION SPORTS FEST PRO,May 31,"Reno, NV",Chris Minnes,https://www.ifbbpro.com/competition/2025-legion-sports-fest/,OPEN,Women's Bikini
2025 DC PRO,Jun 7,"Manassas, VA",Gary Udit,https://www.ifbbpro.com/competition/2025-dc-pro-am/,OPEN,Women's Bikini
2025 MILE HIGH PRO,Jun 7,"Denver, CO",Jeff Taylor,https://www.ifbbpro.com/competition/2025-mile-high-pro/,OPEN + MASTERS 40,Women's Bikini
2025 TORONTO PRO SUPERSHOW,Jun 8,"Toronto, Canada",Ron Hache,https://www.ifbbpro.com/competition/2025-toronto-pro-supershow/,OPEN + MASTERS 40,Women's Bikini
2025 DC NATURAL PRO,Jun 8,"Manassas, VA",Gary Udit,https://www.ifbbpro.com/competition/2025-dc-natural-pro/,NATURAL OPEN,Women's Bikini
2025 SPANISH MASTER PRO,Jun 8,"Madrid, Spain",Gabriel Opare,https://www.ifbbpro.com/competition/2025-spanish-master-pro/,MASTERS 40,Women's Bikini
2025 NEVADA STATE PRO,Jun 14,"Las Vegas, NV",Tamer El Guindy,https://www.ifbbpro.com/competition/2025-nevada-state-championships/,OPEN,Women's Bikini
2025 EMPRO CLASSIC,Jun 15,"Alicante, Spain",Emilio Martinez,https://www.ifbbpro.com/competition/2025-empro-classic/,OPEN,Women's Bikini
2025 WORLD CLASSIC BIKINI PRO,Jun 21,"Chattanooga, TN",Sandy Williamson | Robin Chang | Doug Green,https://www.ifbbpro.com/competition/2025-world-classic-2/,OPEN,Women's Bikini
2025 ST. PETE PRO,Jun 28,"St. Petersburg, FL",David Herskovitz,https://www.ifbbpro.com/competition/2025-st-pete-pro/,MASTERS 35/40/45/50/55/60,Women's Bikini
2025 INDY PRO SUPERSHOW,Jun 28,"Carmel, IN",Gary Udit,https://www.ifbbpro.com/competition/2025-indy-supershow/,OPEN + MASTERS 40/50,Women's Bikini
2025 MR BIG EVOLUTION PORTUGAL PRO,Jul 6,Portugal,Mr. Big Evolution,https://www.ifbbpro.com/competition/2025-mr-big-evolution-portugal-pro/,OPEN,Women's Bikini
2025 REPUBLIC OF TEXAS PRO,Jul 12,"Austin, TX",Helio Chapuseaux | Bernadette Galvan,https://www.ifbbpro.com/competition/2025-republic-of-texas-pro/,OPEN + MASTERS 40,Women's Bikini
2025 EURO MUSCLE PRO SHOW,Jul 12-13,"Amsterdam, Netherlands",Liona Bergmann,,OPEN,Women's Bikini
2025 GOMEISA ULTIMATE BATTLE COLOMBIA PRO,Jul 17-20,"Medellin, Colombia",Maz Ali,https://www.ifbbpro.com/competition/2025-gomeisa-ultimate-battle-pro-medellin-supershow/,OPEN,Women's Bikini
2025 CHICAGO PRO,Jul 18-19,"Rosemont, IL",Tim Gardner,https://www.ifbbpro.com/competition/2025-chicago-pro/,OPEN + MASTERS 40/45/50/55/60,Women's Bikini
2025 LOS ANGELES PRO CHAMPIONSHIPS,Jul 19,"Anaheim, CA",Tamer El Guindy,,OPEN,Women's Bikini
2025 VAN PRO/AM,Jul 27,"Richmond, Canada",Michelle Krack,https://www.ifbbpro.com/competition/2025-van-pro-am/,OPEN,Women's Bikini
2025 TAMPA PRO,Jul 31-Aug 2,"Tampa, FL",Tim Gardner,https://www.ifbbpro.com/competition/2025-tampa-pro/,OPEN + MASTERS 40/45/50/55/60,Women's Bikini
2025 NATURAL CANADA PRO SHOW,Aug 3,Canada,Rudy Jambrosic,https://www.ifbbpro.com/competition/2025-natural-canada-pro-show/,NATURAL OPEN,Women's Bikini
2025 TEXAS PRO,Aug 8-9,"Irving, TX",Freddy Naidu | Sheilahe Brown,https://www.ifbbpro.com/competition/2025-texas-pro/,OPEN,Women's Bikini
2025 FLORIDA STATE MASTERS PRO,Aug 9,"Clermont, FL",Deke Warner,https://www.ifbbpro.com/competition/2025-florida-state-masters-pro/,MASTERS 40/45/50/55,Women's Bikini
2025 MIDWEST NATURALS PRO,Aug 9,"St. Louis, MO",Jack Titone,https://www.ifbbpro.com/competition/2025-midwest-naturals-pro/,NATURAL OPEN,Women's Bikini
2025 TAHOE PRO SHOW,Aug 9,"Stateline, NV",Chris Minnes,https://www.ifbbpro.com/competition/2025-tahoe-show/,OPEN,Women's Bikini
2025 MASTERS OLYMPIA,Aug 9-10,"Tokyo, Japan",Masters Olympia,https://www.ifbbpro.com/2025-masters-olympia-qualifying-system/,MASTERS 40,Women's Bikini
2025 TOKYO PRO,Aug 11,"Tokyo, Japan",Takayuki Shoji,https://www.ifbbpro.com/competition/2025-tokyo-pro-supershow/,OPEN,Women's Bikini
2025 LENDA MURRAY ATL PRO SUPERSHOW,Aug 15-16,"Atlanta, GA",Alex Sacasa,https://www.ifbbpro.com/competition/2025-lenda-murray-atl-pro-supershow/,OPEN + MASTERS 40,Women's Bikini
2025 MAXFIT CLASSIC MASTERS PRO,Aug 16,"Fort Walton Beach, FL",Russ Mesey | Clay Parker,https://www.ifbbpro.com/competition/2025-maxfit-classic-masters-pro/,MASTERS 35/40/45/50/55/60,Women's Bikini
2025 MEXICO GRAND BATTLE PRO/AM,Aug 16-17,"Monterrey, Mexico",M&M Promotions,https://www.ifbbpro.com/competition/2025-mexico-grand-battle-pro-am/,OPEN,Women's Bikini
2025 MARYLAND NIGHT OF CHAMPIONS MASTERS PRO,Aug 23,"Baltimore, MD",Gary Udit,https://www.ifbbpro.com/competition/2025-maryland-night-of-champions-pro/,MASTERS 40,Women's Bikini
